CustomerID,Recency,Frequency,Monetary
12468,136,3,724.04
12471,3,48,16467.01
12472,23,13,6229.48
12473,22,9,2837.73
12474,10,30,7064.77
12475,46,1,723.38
12476,8,19,6645.33
12477,15,9,13117.01
12479,4,1,527.2
12480,21,4,3281.63
12481,15,11,5574.36
12483,10,13,2327.13
12484,25,8,4480.87
12488,2,3,1298.66
12489,329,1,334.93
12490,10,9,4955.63
12491,31,1,460.4
12492,56,2,263.21
12493,158,3,416.79
12494,2,13,1139.35
12497,74,1,1043.1
12498,14,3,403.7
12500,16,13,4206.27
12501,308,2,2089.68
12502,88,5,3723.87
12503,330,1,-1126.0
12504,11,4,114.0
12505,294,1,-4.5
12506,225,1,73.5
12507,127,4,1258.06
12508,19,2,397.88
12509,277,1,176.5
12510,135,2,982.57
12512,59,2,132.18
12513,77,2,586.79
12514,260,1,1017.68
12515,346,1,383.7
12516,70,2,1312.06
12517,21,6,2443.65
12518,21,4,1717.75
12519,56,1,330.84
12520,72,6,2582.51
12521,135,1,599.68
12522,32,2,192.72
12523,12,12,1764.77
12524,2,8,4485.72
12526,46,2,1039.58
12527,74,3,348.71
12528,2,8,1922.28
12530,52,5,1623.63
12531,7,1,125.22
12532,23,1,349.83
12534,123,1,1089.18
12535,84,2,716.35
12536,36,4,4279.71
12538,22,1,363.95
12539,15,5,3852.5
12540,12,19,13309.04
12541,22,3,981.18
12544,22,2,355.7
12545,68,2,1000.39
12546,39,3,1141.5
12547,190,2,207.8
12548,159,1,95.2
12550,72,1,964.83
12551,350,1,168.0
12552,31,2,437.82
12553,1,14,3652.25
12556,43,2,599.56
12557,9,5,11990.96
12559,303,3,536.21
12560,93,3,1403.69
12561,295,1,238.85
12562,1,7,3781.74
12564,254,1,456.9
12565,274,2,131.17
12566,65,2,346.7
12567,15,11,9114.94
12569,1,30,3578.16
12571,32,2,519.61
12572,1,3,1004.72
12573,220,1,160.54
12574,308,1,218.45
12576,28,6,1306.98
12577,28,4,564.2
12578,14,4,2753.36
12579,66,3,410.72
12580,239,1,415.7
12581,32,1,197.71
12582,231,2,511.36
12583,11,17,6492.57
12584,2,17,1693.5
12585,227,4,1982.81
12586,10,2,179.94
12588,32,1,214.9
12589,21,2,646.68
12590,183,3,9861.38
12591,310,1,452.85
12592,85,2,437.6
12593,101,3,418.1
12594,30,11,3320.22
12596,44,2,618.27
12597,12,5,3683.13
12598,2,9,3002.68
12599,22,7,1032.58
12600,21,11,2581.04
12601,182,6,569.56
12602,51,1,153.12
12603,14,1,739.2
12604,72,2,254.18
12605,358,1,-7.5
12607,51,2,0.0
12609,71,3,1126.85
12610,15,7,2057.99
12611,45,1,1193.32
12612,50,2,643.59
12613,24,6,3218.98
12614,270,1,315.6
12615,29,3,1868.34
12616,78,5,657.25
12617,22,1,352.98
12618,14,1,177.31
12619,9,13,3214.81
12620,7,3,1339.41
12621,16,22,12423.87
12622,225,1,180.1
12623,269,1,305.1
12624,99,2,641.13
12625,204,3,2614.32
12626,16,13,6388.35
12627,3,7,4478.53
12628,11,3,554.36
12630,2,2,1270.88
12631,50,1,640.5
12633,51,5,2140.63
12635,82,2,1689.18
12637,60,10,5934.25
12638,26,1,671.69
12639,231,1,486.1
12640,16,3,1174.58
12641,108,1,185.9
12642,18,3,1013.26
12643,121,6,3344.64
12644,122,1,477.91
12645,26,5,1755.38
12646,42,1,731.69
12647,15,13,3669.92
12648,147,1,318.05
12649,100,4,603.71
12651,327,1,114.0
12652,315,2,914.53
12653,141,2,2209.85
12654,3,5,601.98
12656,10,8,3982.72
12657,4,5,1152.06
12658,11,1,686.05
12659,22,1,91.68
12660,4,1,245.1
12662,16,11,3592.13
12664,1,10,4863.88
12665,317,2,61.75
12666,352,1,-227.44
12667,51,1,620.13
12668,4,5,3772.35
12669,143,4,1607.73
12670,3,6,2986.15
12672,322,1,225.9
12673,319,1,220.9
12674,4,7,1922.26
12676,17,6,1331.39
12678,35,13,17588.26
12679,45,9,1058.67
12680,66,3,613.36
12681,7,27,13677.59
12682,2,30,11643.19
12683,29,18,7423.61
12684,17,6,2104.23
12685,21,6,2863.08
12686,364,1,89.14
12688,106,1,4873.81
12689,18,2,1247.61
12690,198,1,389.01
12691,21,6,1035.8
12693,113,6,830.96
12694,63,2,869.67
12695,59,3,497.0
12697,14,5,939.02
12700,58,4,3589.24
12701,72,2,797.71
12702,12,1,219.0
12703,57,2,274.7
12704,15,9,2022.08
12705,8,14,6814.24
12707,284,1,603.42
12708,22,16,2616.32
12709,8,25,9265.75
12710,89,4,1130.57
12712,15,17,4241.63
12714,2,5,4708.86
12715,99,1,343.36
12716,126,1,677.9
12717,144,3,980.98
12718,64,1,238.25
12719,52,2,246.75
12720,8,28,5330.81
12721,24,7,2628.98
12722,78,6,904.33
12723,9,4,647.79
12724,74,3,823.17
12725,364,1,427.8
12726,21,7,2609.1
12727,3,9,3947.7
12728,64,4,836.33
12729,106,1,453.01
12731,16,14,18793.41
12732,172,1,236.26
12733,227,1,383.95
12734,345,1,110.4
12735,308,2,779.57
12736,325,1,234.0
12738,365,1,155.35
12739,71,2,1013.04
12740,56,1,427.6
12743,127,2,540.13
12744,44,10,9120.39
12747,15,10,3757.51
12748,1,215,27540.99
12749,15,7,3105.14
12750,121,1,275.88
12752,74,1,4366.78
12753,15,10,21140.94
12754,228,5,2949.12
12755,242,4,2203.2
12756,79,1,112.08
12757,8,19,4205.25
12758,109,2,2791.59
12759,45,3,1531.44
12762,18,1,461.59
12763,131,2,494.08
12764,309,1,1693.88
12766,50,6,6271.2
12769,231,1,1143.6
12770,203,1,1351.45
12772,52,1,892.47
12775,10,6,1351.24
12778,12,7,804.23
12779,14,12,3868.7
12781,14,5,707.72
12782,142,5,2021.07
12783,25,7,1203.29
12784,2,2,532.82
12785,357,1,311.95
12787,2,3,463.66
12789,58,1,91.85
12790,185,1,324.92
12791,366,1,192.6
12792,249,1,400.54
12793,327,2,545.48
12794,46,2,860.41
12795,11,1,430.48
12797,353,3,194.18
12798,3,3,6977.04
12802,176,2,412.58
12808,29,3,483.65
12809,161,2,484.36
12811,253,3,514.85
12812,37,1,229.64
12814,94,1,125.92
12815,140,2,1063.46
12816,88,2,572.2
12817,274,1,166.04
12818,171,2,1517.88
12820,37,3,731.99
12821,207,1,92.72
12822,63,3,918.98
12823,67,5,1759.5
12824,52,1,397.12
12826,22,7,1325.52
12827,25,2,318.7
12828,58,4,661.31
12829,315,3,253.05
12830,30,7,6748.4
12831,255,1,215.05
12832,25,2,383.03
12833,138,1,417.38
12834,275,1,312.38
12836,52,4,2610.36
12837,166,1,134.1
12838,26,2,671.95
12839,4,14,4835.73
12840,136,6,2714.27
12841,7,24,3694.62
12842,63,2,1118.99
12843,58,9,1680.76
12844,22,2,325.96
12845,260,4,354.09
12847,15,1,843.64
12849,24,2,1010.29
12851,89,1,131.81
12852,283,2,299.75
12853,100,9,1881.7
12854,71,5,1280.9
12855,365,1,38.1
12856,11,7,1940.43
12857,203,2,1106.4
12863,45,2,504.2
12864,131,1,147.12
12865,19,3,1548.07
12866,276,1,559.12
12867,19,10,3958.74
12868,178,6,1607.06
12870,359,1,-14.9
12871,77,2,380.64
12872,319,2,599.97
12873,275,1,374.0
12875,136,2,343.23
12876,50,2,2218.02
12877,17,11,1436.11
12878,11,3,841.64
12879,37,4,552.57
12881,268,1,298.0
12882,2,2,1463.04
12883,17,4,703.47
12884,81,1,309.05
12885,56,4,1158.27
12886,60,3,1351.09
12888,207,4,313.77
12890,17,1,376.72
12891,178,3,331.0
12893,23,1,176.55
12895,35,3,347.3
12897,197,2,216.5
12901,1,36,16293.1
12902,257,1,138.68
12904,11,2,496.06
12906,4,5,2919.81
12908,51,4,246.0
12909,32,8,2128.83
12910,16,8,3075.04
12912,1,4,1474.38
12913,8,4,1948.53
12915,141,2,363.65
12916,131,5,2921.15
12917,121,1,594.0
12919,1,8,1301.44
12920,10,1,162.78
12921,2,49,16427.04
12922,154,1,405.38
12923,57,1,172.82
12924,81,5,929.95
12925,67,1,368.31
12928,28,5,2062.7
12929,115,2,105.1
12930,71,4,409.9
12931,14,20,33462.81
12933,17,4,606.28
12935,19,6,1812.67
12936,10,5,1012.9
12937,8,4,1504.27
12938,18,1,114.14
12939,57,8,11581.8
12940,39,4,862.44
12942,124,3,675.6
12943,294,1,-3.75
12944,28,2,604.51
12945,281,1,462.95
12947,136,11,1407.29
12948,9,8,2053.7
12949,23,10,4143.02
12950,1,2,1483.0
12951,1,8,1042.07
12952,22,4,1085.11
12953,2,1,329.85
12955,1,13,4387.34
12956,299,1,108.07
12957,2,11,3988.94
12962,106,1,170.54
12963,1,9,1841.03
12965,82,1,769.81
12966,2,1,160.18
12967,295,3,1630.95
12968,105,1,135.95
12970,315,2,23.8
12971,1,88,10827.46
12974,190,1,144.8
12976,204,1,738.6
12977,149,1,39.24
12980,148,12,7092.06
12981,22,2,372.22
12982,232,2,377.2
12984,11,1,97.5
12985,21,1,754.38
12987,66,3,545.0
12988,285,1,505.82
12989,1,17,6854.51
12990,24,3,409.5
12991,16,2,503.76
12993,16,4,414.76
12994,100,4,573.27
12995,70,2,200.72
12997,15,7,1197.94
12999,189,3,455.88
13000,99,3,534.85
13001,15,14,9174.06
13002,311,1,120.95
13003,98,3,149.05
13004,4,22,5613.43
13005,166,3,468.95
13006,49,1,81.57
13008,316,2,178.47
13011,365,1,50.55
13012,2,11,1296.62
13013,14,14,4491.89
13014,3,15,3376.63
13015,46,5,3339.64
13016,66,3,789.89
13018,9,29,7272.75
13021,18,11,2278.97
13023,57,2,689.9
13026,17,7,735.63
13027,106,6,6912.0
13028,15,3,659.68
13029,23,3,1247.5
13030,4,2,752.44
13032,31,3,996.52
13033,350,1,190.55
13034,47,2,642.77
13035,50,3,886.63
13037,131,3,881.07
13038,73,3,908.46
13040,1,2,676.99
13043,246,2,471.57
13044,284,1,560.47
13045,92,1,305.28
13046,23,2,629.31
13047,24,18,3079.1
13048,7,5,1789.41
13049,57,2,656.68
13050,2,28,5684.61
13052,205,1,348.15
13055,57,4,1201.96
13058,17,3,271.4
13059,242,1,183.4
13060,246,1,307.53
13061,65,1,248.61
13062,184,1,346.98
13064,5,4,1105.59
13065,366,1,205.86
13066,17,3,430.9
13067,75,1,115.46
13068,3,2,344.0
13069,7,26,3432.9
13070,185,1,228.8
13072,259,1,177.15
13075,122,1,919.61
13077,283,3,576.19
13078,1,41,11598.05
13079,14,4,190.1
13080,172,1,58.08
13081,4,20,27980.33
13082,119,10,3595.48
13083,68,1,192.39
13085,150,3,272.38
13089,1,116,53254.85
13090,1,18,8689.39
13091,14,2,319.82
13092,63,6,459.83
13093,260,13,7741.47
13094,14,16,1708.86
13095,63,1,74.4
13097,25,14,5886.12
13098,1,37,26300.37
13099,92,1,207.36
13101,227,1,101.19
13102,1,26,6142.22
13103,32,1,243.94
13104,39,5,759.0
13106,121,2,59.5
13107,37,5,1524.07
13108,365,1,350.06
13109,44,4,778.64
13110,24,8,1452.87
13113,7,39,10170.8
13115,1,14,2205.63
13116,110,2,485.19
13117,14,8,984.91
13118,12,7,1125.0
13120,231,1,30.6
13121,262,2,254.73
13122,87,2,922.39
13124,82,3,3756.33
13126,31,9,1686.85
13127,70,1,259.17
13130,87,1,64.0
13131,16,4,1039.3
13132,254,1,77.3
13133,266,2,109.8
13134,65,7,1740.63
13135,189,1,3096.0
13136,43,11,2545.38
13137,3,9,3557.96
13138,15,6,962.39
13139,9,8,5055.79
13140,101,3,422.47
13141,77,6,2385.8
13142,12,1,307.09
13144,325,1,110.95
13145,32,5,614.77
13146,19,1,228.91
13147,3,4,712.8
13148,22,17,3324.62
13149,7,4,1676.06
13151,196,2,1250.37
13154,137,1,-611.86
13155,26,4,971.76
13157,42,5,1721.57
13158,87,4,1201.06
13159,1,5,1371.25
13160,15,1,91.8
13161,306,1,112.75
13162,115,5,1644.99
13165,39,2,1021.48
13166,275,2,414.7
13167,11,4,791.33
13168,29,5,1290.54
13169,56,2,712.88
13170,19,1,108.81
13171,1,5,426.81
13173,360,1,165.94
13174,9,3,2742.82
13176,39,1,481.49
13177,57,1,282.45
13178,19,11,5725.47
13182,38,1,121.18
13183,30,8,3528.72
13184,7,12,1616.45
13185,260,1,71.4
13186,32,5,1539.69
13187,330,1,236.02
13188,4,1,114.6
13189,11,2,260.68
13192,88,2,911.94
13193,54,1,112.08
13194,128,1,60.7
13196,4,4,1797.78
13198,3,8,3384.09
13199,1,37,9313.16
13200,12,4,870.09
13203,2,4,869.46
13207,8,2,250.26
13208,51,7,1199.65
13209,23,11,5820.16
13210,86,1,353.48
13211,3,3,1095.42
13212,2,4,779.33
13213,49,6,1518.43
13216,260,1,333.74
13217,115,5,133.62
13218,120,1,62.64
13220,71,4,819.29
13221,233,2,847.41
13223,193,2,163.2
13224,53,3,2150.85
13225,53,7,4719.84
13226,266,1,108.21
13227,194,1,257.7
13228,74,1,358.0
13229,218,1,160.95
13230,22,14,2321.36
13232,5,7,1328.35
13233,67,2,605.12
13235,204,2,101.17
13236,17,3,727.27
13238,4,5,680.83
13239,254,1,329.56
13240,89,4,663.65
13242,105,3,270.4
13243,196,1,585.12
13244,85,1,121.74
13245,43,1,430.5
13246,11,7,1896.32
13247,10,4,501.12
13248,117,2,465.68
13249,85,3,711.41
13253,149,2,1030.4
13255,2,2,399.51
13258,4,3,672.83
13259,54,1,283.18
13260,54,1,557.62
13261,261,2,944.1
13262,256,1,200.29
13263,1,34,7229.58
13265,46,5,2092.66
13266,4,19,3717.67
13267,1,26,4103.24
13268,10,15,3127.7
13269,4,16,4979.29
13270,359,1,590.0
13271,30,2,172.37
13272,24,2,276.56
13273,106,1,138.98
13276,56,2,590.93
13277,8,4,258.4
13278,33,1,542.73
13279,57,2,126.3
13280,115,3,798.46
13282,11,6,1047.84
13283,52,2,93.66
13284,315,2,196.15
13285,16,4,2709.12
13291,148,1,361.11
13292,31,2,578.94
13294,182,2,873.74
13295,352,2,197.95
13296,130,1,87.4
13297,16,3,1766.33
13299,261,1,142.5
13300,157,2,365.29
13301,96,4,618.09
13302,148,1,63.75
13304,344,1,300.42
13305,14,9,1787.7
13307,113,1,15.0
13308,15,4,1367.61
13309,38,4,1221.91
13310,1,6,1083.63
13311,143,1,490.11
13313,15,5,1555.32
13314,44,3,407.04
13316,30,5,5570.69
13317,57,9,2140.07
13318,30,1,302.96
13319,10,35,10355.24
13320,63,6,1475.2
13321,65,2,567.36
13322,10,1,199.48
13323,1,4,513.05
13324,25,12,7072.8
13325,74,1,675.3
13327,31,9,3617.57
13328,309,1,1308.48
13329,24,4,740.4
13330,85,3,1140.93
13332,7,1,350.9
13334,75,3,3502.32
13336,70,1,795.12
13338,147,3,431.82
13339,193,1,860.12
13340,38,7,10736.48
13341,253,1,775.85
13343,165,2,303.93
13344,60,3,2511.69
13345,269,2,377.6
13347,63,1,341.36
13348,57,1,233.76
13349,3,1,247.32
13350,9,3,910.72
13351,59,1,373.94
13352,53,1,397.98
13354,64,1,743.53
13355,115,1,674.7
13356,73,1,768.24
13357,250,1,609.4
13358,261,1,439.03
13359,52,2,431.26
13362,2,4,3090.74
13363,10,2,992.5
13364,59,2,0.0
13365,1,3,2191.22
13366,43,1,56.16
13368,249,2,623.4
13369,347,2,263.75
13370,359,2,721.32
13372,82,1,378.64
13373,53,3,3312.25
13375,74,2,772.9
13376,92,3,1019.76
13379,19,3,572.56
13381,14,7,3626.81
13382,273,1,222.99
13384,23,9,4122.28
13385,322,1,534.57
13388,114,3,627.15
13389,4,3,797.96
13390,67,1,544.08
13391,196,1,59.8
13394,30,9,2010.7
13395,178,1,307.72
13396,14,4,1325.29
13397,65,6,1539.18
13398,185,1,457.34
13402,120,2,621.23
13403,10,1,75.0
13404,205,1,217.81
13405,67,3,572.45
13408,1,79,26624.57
13410,1,7,988.91
13411,100,1,213.55
13414,126,3,1390.5
13416,36,2,712.5
13417,198,1,236.0
13418,4,23,5845.44
13419,56,1,221.06
13420,127,4,140.35
13421,33,3,1831.61
13422,44,2,2601.55
13425,101,3,1624.21
13426,3,11,3258.92
13427,12,3,582.6
13428,3,1,201.78
13429,3,4,1006.8
13430,11,4,648.69
13431,60,2,1269.1
13434,67,2,534.24
13435,17,7,3356.34
13437,7,7,3408.06
13439,248,1,283.71
13441,84,1,296.64
13447,16,4,1104.23
13448,9,10,3460.99
13449,16,1,291.88
13450,19,6,2043.72
13451,19,6,2838.56
13452,252,2,590.0
13453,158,2,356.98
13455,17,4,1007.35
13456,10,7,1737.82
13458,11,21,8953.4
13460,22,2,183.44
13461,31,3,1445.0
13462,176,2,143.25
13464,51,1,674.68
13466,93,2,297.95
13467,3,2,1071.91
13468,1,39,5375.81
13470,92,2,165.0
13471,14,2,1546.4
13473,53,3,417.54
13474,229,1,226.84
13475,184,4,1431.78
13476,171,4,1092.77
13477,30,8,1441.53
13479,191,3,291.0
13481,38,8,1776.81
13482,225,1,184.64
13483,58,1,140.34
13484,234,1,313.8
13485,226,1,454.24
13486,71,3,1122.41
13487,50,3,575.4
13488,10,17,8910.61
13489,98,4,449.52
13491,44,10,1215.82
13492,129,3,1269.84
13493,268,2,618.63
13494,304,1,316.26
13495,28,5,1677.48
13496,3,3,617.93
13497,275,3,321.05
13499,10,7,1146.96
13500,16,4,1136.77
13501,235,2,1310.47
13502,9,3,292.0
13503,64,1,216.85
13504,57,1,295.93
13505,60,8,4282.88
13506,305,3,452.82
13507,91,3,2022.79
13508,236,1,110.97
13509,1,7,979.72
13510,38,4,1443.3
13512,253,1,251.21
13513,119,1,205.1
13514,66,1,152.2
13515,65,4,891.12
13516,14,3,1389.41
13517,52,5,2109.07
13518,78,1,627.16
13519,43,2,110.8
13520,51,8,3487.75
13521,3,1,277.48
13522,23,1,125.8
13523,26,6,3755.38
13524,33,5,680.18
13525,7,2,628.78
13527,26,8,2218.61
13529,71,2,307.76
13531,198,2,483.8
13532,26,1,210.31
13533,175,3,269.09
13534,25,42,5255.88
13536,2,5,2439.29
13538,36,7,1280.85
13539,78,4,605.84
13544,32,2,276.06
13546,5,3,621.09
13548,89,2,678.16
13549,18,8,916.12
13551,312,1,91.8
13552,59,16,3539.53
13555,66,4,4098.88
13557,21,2,584.06
13558,16,3,471.84
13561,208,1,141.86
13562,74,3,1799.33
13563,77,2,777.53
13564,137,5,623.39
13565,12,2,240.22
13566,33,2,856.84
13568,166,1,187.05
13569,10,2,338.62
13570,236,1,239.49
13571,5,12,2088.94
13572,198,1,1384.25
13573,43,2,290.25
13575,16,5,732.07
13576,3,20,6703.3
13577,18,5,1658.3
13579,7,2,467.04
13581,302,1,118.0
13583,148,1,781.03
13584,299,1,142.4
13587,24,3,347.0
13588,8,13,2445.12
13589,7,2,379.65
13590,4,7,1976.12
13591,57,3,1117.13
13592,28,4,247.96
13593,101,6,1965.08
13594,45,1,396.97
13596,5,1,378.67
13598,40,2,147.29
13599,1,31,4937.07
13600,305,1,219.52
13601,38,2,693.32
13602,57,1,428.89
13603,19,1,164.34
13606,22,3,276.75
13607,33,1,675.51
13610,5,9,1065.88
13611,82,4,1140.8
13614,17,4,1585.46
13615,305,2,399.99
13617,33,3,544.18
13618,166,1,177.34
13621,109,1,213.85
13623,23,7,652.4
13626,245,1,257.23
13627,52,7,1624.02
13629,16,11,7792.36
13630,68,10,1763.68
13631,92,12,3021.77
13632,17,6,2114.68
13634,26,5,1547.36
13635,60,1,1071.03
13636,29,6,941.62
13637,45,3,804.3
13638,8,1,122.64
13639,67,1,1033.34
13642,208,1,312.28
13643,24,3,519.44
13644,1,5,2597.52
13645,113,1,252.1
13647,2,5,1640.22
13649,249,2,346.6
13650,9,7,1809.34
13651,28,2,94.2
13652,38,3,1095.08
13654,36,6,2707.33
13655,107,2,932.97
13656,157,2,379.65
13657,3,2,382.14
13658,2,7,2421.47
13659,190,3,1540.65
13662,78,7,862.58
13663,172,1,189.47
13666,53,3,84.65
13667,142,1,299.05
13668,3,27,5833.04
13669,43,2,218.55
13670,68,1,349.7
13672,294,6,-71.46
13673,11,2,387.44
13675,144,2,486.82
13678,144,1,232.6
13680,32,4,1563.93
13681,10,4,827.83
13682,180,1,59.5
13684,278,2,62.13
13685,38,3,1934.45
13686,175,1,72.0
13689,56,1,910.0
13690,52,1,172.25
13692,17,5,1466.87
13693,318,2,-32.0
13694,18,57,59559.38
13695,24,15,2504.13
13697,31,1,151.3
13699,148,1,308.58
13700,19,10,2248.63
13703,311,1,99.5
13704,15,9,2130.63
13705,137,2,522.68
13706,295,1,330.79
13707,260,2,806.41
13708,264,1,285.33
13709,24,15,5700.4
13710,24,1,180.48
13711,211,2,252.06
13712,239,1,228.84
13715,274,8,1051.99
13716,262,1,138.28
13717,25,7,1432.26
13718,239,2,306.55
13719,8,5,1041.68
13720,109,4,799.9
13721,29,1,524.14
13722,113,4,2369.16
13723,210,1,199.85
13725,42,11,1809.81
13726,31,2,1079.66
13727,21,2,333.48
13728,29,6,1016.14
13730,128,2,752.6
13731,212,2,610.59
13732,21,1,491.86
13735,17,8,2764.48
13736,253,2,349.63
13737,193,1,339.6
13739,11,1,216.9
13740,233,1,350.75
13741,64,4,666.33
13742,9,14,3079.27
13743,81,7,1064.39
13744,88,2,1080.52
13745,144,2,291.54
13747,366,1,79.6
13748,88,5,948.25
13750,46,5,1647.26
13751,281,1,296.25
13752,117,6,1175.38
13753,280,1,741.26
13754,144,2,282.6
13755,2,9,1944.49
13756,11,13,4298.72
13758,4,7,3190.55
13759,26,2,659.41
13760,47,2,286.79
13761,43,2,1070.65
13762,197,2,0.0
13763,56,3,1689.46
13764,63,3,1519.42
13767,18,51,16059.73
13769,22,15,2453.95
13771,57,5,2631.7
13772,26,3,1122.63
13774,74,1,345.0
13777,1,39,25483.11
13778,96,1,178.7
13780,163,1,116.28
13781,243,1,127.84
13782,5,6,908.86
13784,2,11,2462.79
13786,360,1,230.4
13787,68,2,309.04
13791,36,3,1047.68
13792,59,2,195.55
13798,4,60,34515.63
13799,109,2,688.86
13800,302,1,558.32
13801,59,1,324.8
13802,131,6,3906.27
13803,248,1,277.07
13804,23,7,2588.39
13805,45,2,924.6
13806,56,1,256.38
13807,360,1,112.6
13808,39,4,1518.5
13809,298,1,155.05
13810,21,4,899.51
13811,176,4,591.75
13812,35,3,539.0
13813,32,5,1353.41
13814,49,3,1562.12
13815,15,5,4014.91
13816,16,4,555.04
13817,22,2,382.98
13819,294,3,1140.35
13821,137,2,385.64
13822,33,1,468.38
13823,11,2,957.66
13824,25,5,1698.94
13826,151,2,174.65
13827,50,3,409.8
13828,15,1,209.49
13829,352,1,-102.0
13831,9,6,2198.45
13832,10,2,40.95
13833,152,1,383.85
13835,18,4,834.57
13837,204,2,266.59
13838,110,3,467.54
13841,245,1,85.0
13842,51,9,3385.62
13844,4,1,361.62
13845,57,1,312.98
13846,17,4,847.61
13848,85,3,1255.0
13849,44,2,1537.95
13850,81,2,1586.81
13851,88,3,2651.46
13853,1,2,1056.94
13854,1,29,8025.02
13856,161,5,363.4
13858,50,1,216.17
13859,319,1,201.16
13860,7,5,920.55
13862,11,10,2187.31
13863,238,2,299.56
13865,51,4,501.56
13866,67,1,145.67
13867,24,3,1005.09
13868,31,1,507.54
13869,116,4,3083.65
13870,30,9,2598.5
13871,15,14,6389.8
13873,112,4,381.7
13874,351,1,540.45
13875,46,5,1786.79
13876,56,1,122.7
13877,79,1,117.24
13878,47,1,1271.57
13880,14,13,3219.77
13881,4,21,16420.4
13882,4,5,938.2
13883,3,8,2574.9
13884,82,5,534.2
13885,182,2,506.8
13886,64,1,243.56
13887,197,1,349.55
13888,112,2,595.67
13889,85,1,416.9
13890,1,12,1499.11
13892,19,4,632.97
13893,290,1,821.1
13894,15,5,535.97
13895,14,5,2588.12
13897,43,1,311.16
13898,318,1,155.93
13899,9,2,388.52
13900,176,3,740.95
13901,65,5,2867.2
13904,30,2,332.64
13908,72,5,2347.05
13911,50,9,2580.91
13914,4,2,626.45
13917,42,2,272.04
13918,42,2,1212.84
13919,46,3,350.16
13922,344,1,172.25
13923,46,1,351.13
13924,2,10,1379.68
13925,29,6,616.65
13926,16,1,223.85
13927,67,1,348.99
13928,3,4,464.57
13929,162,3,802.85
13930,50,2,337.34
13931,78,3,1230.93
13932,287,1,307.4
13933,102,2,608.79
13934,256,1,922.1
13936,164,2,361.28
13937,162,1,158.85
13938,28,1,71.66
13939,16,4,556.75
13940,10,4,839.14
13941,14,7,4912.41
13946,72,3,561.57
13947,58,1,90.6
13948,353,1,102.0
13949,17,5,1909.09
13950,4,5,728.56
13951,169,3,674.45
13952,204,3,3246.09
13953,45,6,3104.36
13954,50,2,166.08
13955,147,2,322.96
13956,47,4,865.72
13958,365,1,-102.45
13959,72,3,594.04
13960,14,2,230.22
13962,14,2,169.55
13963,301,4,664.54
13967,138,1,80.7
13969,1,18,9001.51
13971,1,11,2702.22
13972,63,2,190.25
13973,280,1,264.7
13974,42,1,413.59
13975,24,7,2438.19
13976,199,1,357.98
13978,7,2,196.79
13979,66,1,869.87
13980,53,1,200.14
13982,32,5,1861.11
13983,22,13,2590.46
13984,19,6,488.03
13985,7,15,6876.97
13986,10,1,320.46
13988,12,9,4098.8
13989,58,2,1266.08
13990,206,1,311.3
13991,5,7,847.54
13992,23,1,76.8
13993,25,12,3409.66
13994,32,5,2158.04
13995,8,6,1383.49
13999,3,15,3865.26
14000,199,2,633.71
14001,38,4,2030.33
14002,127,2,529.73
14004,36,7,4582.64
14005,2,5,2874.72
14006,108,3,962.19
